"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"FF","2023-05-26","94.3","1.31","6.07","Detmers, Reid",643265,672282,,"foul",,,,,3,"Garrett Cooper strikes out swinging.","R","R","L","LAA","MIA","S",,,1,1,2023,"0.97","1.38","0.35","3.06",,542932,650333,2,5,"Top",,,,,595453,,,-4.61488992473917,-137.15761447082184,-5.143219011240609,13.271120570693073,31.637056369370917,-13.872795272960941,"3.52","1.75",219,"75.5",40,"93.6",2108,"6",718015,672282,595453,592273,650859,570482,687263,621493,545361,592669,"54.5",,,,,,,,39,3,"4-Seam Fastball",0,2,2,0,2,0,2,0,"Standard","Standard",135,"0","-0.136"
"FF","2023-05-26","94.2","1.33","6.13","Detmers, Reid",643265,672282,,"ball",,,,,11,"Garrett Cooper strikes out swinging.","R","R","L","LAA","MIA","B",,,0,1,2023,"0.83","1.37","-0.94","4.15",,542932,650333,2,5,"Top",,,,,595453,,,-7.613317696982253,-136.88528234996622,-2.3764241365628815,12.230422407511236,32.67136151067259,-14.762654905827127,"3.66","1.89",,,,"92.6",2095,"5.6",718015,672282,595453,592273,650859,570482,687263,621493,545361,592669,"54.91",,,,,,,,39,2,"4-Seam Fastball",0,2,2,0,2,0,2,0,"Standard","Standard",140,"0","0.062"
"CU","2023-05-26","75.6","1.35","6.22","Detmers, Reid",643265,672282,,"swinging_strike",,,,,8,"Garrett Cooper strikes out swinging.","R","R","L","LAA","MIA","S",,,0,0,2023,"-1.01","-1.4","0.03","1.73",,542932,650333,2,5,"Top",,,,,595453,,,-0.9360721959091021,-109.94400106517716,0.452466013165298,-7.821178487649727,25.130915116166747,-43.69334106588998,"3.52","1.75",,,,"73.8",2602,"5.6",718015,672282,595453,592273,650859,570482,687263,621493,545361,592669,"54.89",,,,,,,,39,1,"Curveball",0,2,2,0,2,0,2,0,"Standard","Standard",326,"0","-0.084"
"SL","2023-05-26","90.9","1.24","6.08","Detmers, Reid",650333,672282,"walk","ball",,,,,13,"Luis Arraez walks.   Jon Berti to 2nd.","R","L","L","LAA","MIA","B",,,3,2,2023,"0.12","0.54","-0.88","0.85",,,542932,2,5,"Top",,,,,595453,,,-5.5262956347476715,-132.1001281879386,-8.291051695250198,2.5646289643065074,27.67970183652768,-24.261391920766584,"3.21","1.48",,,,"90.2",2018,"5.9",718015,672282,595453,592273,650859,570482,687263,621493,545361,592669,"54.6",,,"0.7",1,0,0,,38,6,"Slider",0,2,2,0,2,0,2,0,"Standard","Standard",139,"-0.015","0.21"
"SL","2023-05-26","90.2","1.32","6.22","Detmers, Reid",650333,672282,,"swinging_strike",,,,,8,"Luis Arraez walks.   Jon Berti to 2nd.","R","L","L","LAA","MIA","S",,,3,1,2023,"-0.11","0.51","0.01","1.58",,,542932,2,5,"Top",,,,,595453,,,-2.972012083956751,-131.1926331522947,-6.547235515092133,-0.6235339732304476,28.986637081404886,-25.083579109416508,"3.17","1.54",,,,"89",1952,"5.7",718015,672282,595453,592273,650859,570482,687263,621493,545361,592669,"54.8",,,,,,,,38,5,"Slider",0,2,2,0,2,0,2,0,"Standard","Standard",139,"0","-0.085"
"FF","2023-05-26","94.8","1.14","6.14","Detmers, Reid",650333,672282,,"ball",,,,,11,"Luis Arraez walks.   Jon Berti to 2nd.","R","L","L","LAA","MIA","B",,,2,1,2023,"0.8","1.6","-1.01","3.17",,,542932,2,5,"Top",,,,,595453,,,-7.328996989153036,-137.8160929818619,-5.5788063422575025,11.904984025277361,32.533366083680875,-10.789372009942728,"3.18","1.48",,,,"93.6",2106,"5.8",718015,672282,595453,592273,650859,570482,687263,621493,545361,592669,"54.7",,,,,,,,38,4,"4-Seam Fastball",0,2,2,0,2,0,2,0,"Standard","Standard",142,"0","0.077"
"FF","2023-05-26","93.4","1.14","6.07","Detmers, Reid",650333,672282,,"called_strike",,,,,4,"Luis Arraez walks.   Jon Berti to 2nd.","R","L","L","LAA","MIA","S",,,2,0,2023,"0.87","1.4","-0.7","2.23",,,542932,2,5,"Top",,,,,595453,,,-6.625020087903791,-135.73103123187084,-7.125821939442217,12.291968411509052,31.171689978508923,-13.504762146178265,"3.17","1.51",,,,"92.5",2036,"5.9",718015,672282,595453,592273,650859,570482,687263,621493,545361,592669,"54.56",,,,,,,,38,3,"4-Seam Fastball",0,2,2,0,2,0,2,0,"Standard","Standard",142,"0","-0.032"
"SL","2023-05-26","89.2","1.38","6.04","Detmers, Reid",650333,672282,,"ball",,,,,13,"Luis Arraez walks.   Jon Berti to 2nd.","R","L","L","LAA","MIA","B",,,1,0,2023,"-0.09","0.34","-1.14","1.19",,,542932,2,5,"Top",,,,,595453,,,-5.95210905258751,-129.61985053475325,-6.519318347424903,0.2910916356405508,28.248162158433114,-27.095386610190968,"3.15","1.46",,,,"88.1",2022,"5.8",718015,672282,595453,592273,650859,570482,687263,621493,545361,592669,"54.73",,,,,,,,38,2,"Slider",0,2,2,0,2,0,2,0,"Standard","Standard",140,"0","0.032"
"SL","2023-05-26","89","1.26","6.09","Detmers, Reid",650333,672282,,"ball",,,,,8,"Luis Arraez walks.   Jon Berti to 2nd.","R","L","L","LAA","MIA","B",,,0,0,2023,"-0.02","0.42","-0.14","1.63",,,542932,2,5,"Top",,,,,595453,,,-3.364200487783194,-129.50207859379745,-5.781263267250639,0.4222725261662807,25.785160703150613,-26.439421071864324,"3.43","1.56",,,,"88.2",1837,"5.7",718015,672282,595453,592273,650859,570482,687263,621493,545361,592669,"54.79",,,,,,,,38,1,"Slider",0,2,2,0,2,0,2,0,"Standard","Standard",133,"0","0.026"
"SL","2023-05-26","89.5","1.26","6.26","Detmers, Reid",624585,672282,"field_out","hit_into_play",,,,,6,"Jorge Soler flies out to right fielder Hunter Renfroe.","R","R","L","LAA","MIA","X",9,"fly_ball",1,1,2023,"-0.18","0.21","0.37","2.67",,,542932,1,5,"Top",187.53,132.4,,,595453,,,-1.8266945846860208,-130.4020215568395,-3.2787675102761225,-1.6021346684116098,28.271265871301033,-29.25004785961624,"3.5","1.7",210,"94.5",61,"88.7",1845,"5.8",718015,672282,595453,592273,650859,570482,687263,621493,545361,592669,"54.69",0.011,0.013,"0",1,0,0,3,37,3,"Slider",0,2,2,0,2,0,2,0,"Standard","Standard",159,"0.021","-0.285"
