"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"ST","2023-05-21","84.9","-2.7","5.33","Ohtani, Shohei",666397,660271,"strikeout","swinging_strike",,,,,2,"Edouard Julien strikes out swinging.","R","L","R","LAA","MIN","S",2,,2,2,2023,"1.11","0.42","-0.27","3.46",,,,2,6,"Top",,,,,595453,,,3.4813744389927823,-123.73388321588695,1.0670760195970472,10.774864879203415,23.62080582684455,-28.238553007483606,"3.35","1.63",,,,"85.6",2490,"6.6",718080,660271,595453,665120,650859,570482,687263,666160,545361,592669,"53.92",,,"0",1,0,0,,44,5,"Sweeper",1,1,1,1,1,1,1,1,"Strategic","Standard",71,"0.016","-0.09"
"FS","2023-05-21","92.2","-2.1","5.69","Ohtani, Shohei",666397,660271,,"ball",,,,,14,"Edouard Julien strikes out swinging.","R","L","R","LAA","MIN","B",,,1,2,2023,"-0.86","0.03","0.74","1.26",,,,2,6,"Top",,,,,595453,,,9.175045667838148,-133.93550323135858,-5.557166619547459,-12.223253360877216,27.22806669948196,-30.76796655634174,"3.12","1.63",,,,"93.2",1771,"6.8",718080,660271,595453,665120,650859,570482,687263,666160,545361,592669,"53.67",,,,,,,,44,4,"Split-Finger",1,1,1,1,1,1,1,1,"Strategic","Standard",235,"0","0.018"
"FF","2023-05-21","98","-2.28","5.72","Ohtani, Shohei",666397,660271,,"ball",,,,,11,"Edouard Julien strikes out swinging.","R","L","R","LAA","MIN","B",,,0,2,2023,"-0.15","1.06","-1.34","4.01",,,,2,6,"Top",,,,,595453,,,2.9131684855015854,-142.85638522581112,-1.6544964936676991,-2.693223973734406,29.47757339330679,-17.38196611745352,"3.03","1.63",,,,"99.1",2307,"6.6",718080,660271,595453,665120,650859,570482,687263,666160,545361,592669,"53.95",,,,,,,,44,3,"4-Seam Fastball",1,1,1,1,1,1,1,1,"Strategic","Standard",205,"0","0.014"
"FS","2023-05-21","90.5","-2.23","5.63","Ohtani, Shohei",666397,660271,,"swinging_strike",,,,,9,"Edouard Julien strikes out swinging.","R","L","R","LAA","MIN","S",,,0,1,2023,"-0.33","0.35","0.39","1.85",,,,2,6,"Top",,,,,595453,,,7.307211738138115,-131.71943069184812,-4.346274061173872,-5.293063301483382,24.647358654910384,-27.430143023825163,"3.35","1.63",,,,"91.8",1697,"6.8",718080,660271,595453,665120,650859,570482,687263,666160,545361,592669,"53.69",,,,,,,,44,2,"Split-Finger",1,1,1,1,1,1,1,1,"Strategic","Standard",245,"0","-0.025"
"FS","2023-05-21","89.7","-2.23","5.65","Ohtani, Shohei",666397,660271,,"called_strike",,,,,5,"Edouard Julien strikes out swinging.","R","L","R","LAA","MIN","S",,,0,0,2023,"-0.78","0.11","0.1","2.65",,,,2,6,"Top",,,,,595453,,,7.500281295234924,-130.51278662504978,-1.6976130595759837,-10.4959411067688,26.37288989087637,-30.786694275509635,"3.12","1.63",,,,"90.7",1600,"6.8",718080,660271,595453,665120,650859,570482,687263,666160,545361,592669,"53.68",,,,,,,,44,1,"Split-Finger",1,1,1,1,1,1,1,1,"Strategic","Standard",231,"0","-0.021"
"ST","2023-05-21","84.5","-1.88","6.03","Ohtani, Shohei",666135,660271,"strikeout","called_strike",,,,,3,"Alex Kirilloff called out on strikes.","R","L","R","LAA","MIN","S",2,,3,2,2023,"1.24","0.07","0.46","2.69",,,,1,6,"Top",,,,,595453,,,3.000150665495748,-123.00761133196801,-1.5517138612047323,11.897504430182648,25.246378214773728,-31.351127856484535,"3.06","1.72",,,,"84.9",2478,"6.6",718080,660271,595453,665120,650859,570482,687263,666160,545361,592669,"53.9",,,"0",1,0,0,,43,6,"Sweeper",1,1,1,1,1,1,1,1,"Strategic","Standard",61,"0.025","-0.215"
"FF","2023-05-21","97","-2.22","5.59","Ohtani, Shohei",666135,660271,,"ball",,,,,11,"Alex Kirilloff called out on strikes.","R","L","R","LAA","MIN","B",,,2,2,2023,"-0.06","1.04","-1.2","3.1",,,,1,6,"Top",,,,,595453,,,2.8824100504748684,-141.33767900415017,-3.5599425960753077,-1.4628997008969467,31.504525023218342,-17.580805412952664,"3.13","1.72",,,,"98",2297,"6.7",718080,660271,595453,665120,650859,570482,687263,666160,545361,592669,"53.76",,,,,,,,43,5,"4-Seam Fastball",1,1,1,1,1,1,1,1,"Strategic","Standard",207,"0","0.061"
"FC","2023-05-21","82.3","-1.7","6.5","Ohtani, Shohei",666135,660271,,"ball",,,,,11,"Alex Kirilloff called out on strikes.","R","L","R","LAA","MIN","B",,,1,2,2023,"0.84","-0.33","-0.85","3.93",,,,1,6,"Top",,,,,595453,,,0.30219143632969253,-119.8564108264016,1.3549251631433696,8.018947244388414,23.769402988438443,-35.82099297073599,"3.18","1.72",,,,"82.7",2459,"6.6",718080,660271,595453,665120,650859,570482,687263,666160,545361,592669,"53.91",,,,,,,,43,4,"Cutter",1,1,1,1,1,1,1,1,"Strategic","Standard",54,"0","0.031"
"FF","2023-05-21","97.4","-2.12","5.59","Ohtani, Shohei",666135,660271,,"foul_tip",,,,,6,"Alex Kirilloff called out on strikes.","R","L","R","LAA","MIN","S",,,1,1,2023,"-0.28","1.2","0.35","2.48",,,,1,6,"Top",,,,,595453,,,7.3506349020978154,-141.5824510950805,-5.67597631103369,-5.341842294620154,31.135349887045933,-14.867841748300838,"3.27","1.72",,,,"98.6",2268,"6.9",718080,660271,595453,665120,650859,570482,687263,666160,545361,592669,"53.59",,,,,,,,43,3,"4-Seam Fastball",1,1,1,1,1,1,1,1,"Strategic","Standard",212,"0","-0.044"
"FS","2023-05-21","91.9","-2.01","5.53","Ohtani, Shohei",666135,660271,,"ball",,,,,14,"Alex Kirilloff called out on strikes.","R","L","R","LAA","MIN","B",,,0,1,2023,"-1.17","0.47","1.61","0.04",,,,1,6,"Top",,,,,595453,,,11.844873828451776,-133.09903325678374,-9.197892827184386,-16.410308632989207,26.822905420670764,-24.705488536184024,"3.13","1.72",,,,"93.1",1817,"7.1",718080,660271,595453,665120,650859,570482,687263,666160,545361,592669,"53.38",,,,,,,,43,2,"Split-Finger",1,1,1,1,1,1,1,1,"Strategic","Standard",225,"0","0.021"
"FF","2023-05-21","98.2","-1.94","5.74","Ohtani, Shohei",666135,660271,,"called_strike",,,,,2,"Alex Kirilloff called out on strikes.","R","L","R","LAA","MIN","S",,,0,0,2023,"-0.39","1.17","0.13","3.26",,,,1,6,"Top",,,,,595453,,,6.584282781426207,-142.90990276199648,-4.046481168992811,-6.741656983575659,29.98250032072878,-15.30214374728069,"3.24","1.6",,,,"99.6",2265,"6.8",718080,660271,595453,665120,650859,570482,687263,666160,545361,592669,"53.66",,,,,,,,43,1,"4-Seam Fastball",1,1,1,1,1,1,1,1,"Strategic","Standard",212,"0","-0.027"
"FF","2023-05-21","98","-1.84","5.74","Ohtani, Shohei",621043,660271,"strikeout","swinging_strike",,,,,9,"Carlos Correa strikes out swinging.","R","R","R","LAA","MIN","S",2,,2,2,2023,"-0.41","1.29","0.45","2.24",,,,0,6,"Top",,,,,595453,,,7.204536332111326,-142.45705349837786,-6.99736951312021,-7.276872038794491,33.39580260286285,-13.185378946819382,"3.51","1.71",,,,"98.7",2228,"6.8",718080,660271,595453,665120,650859,570482,687263,666160,545361,592669,"53.7",,,"0",1,0,0,,42,5,"4-Seam Fastball",1,1,1,1,1,1,1,1,"Standard","Standard",215,"0.033","-0.204"
"FS","2023-05-21","89.6","-1.85","5.71","Ohtani, Shohei",621043,660271,,"ball",,,,,14,"Carlos Correa strikes out swinging.","R","R","R","LAA","MIN","B",,,1,2,2023,"-1.09","0.29","0.82","0.82",,,,0,6,"Top",,,,,595453,,,9.01699971241509,-130.150832718036,-6.760514824885523,-14.290708662924274,26.578468861814507,-27.672791500760596,"3.6","1.71",,,,"90.8",1595,"7",718080,660271,595453,665120,650859,570482,687263,666160,545361,592669,"53.47",,,,,,,,42,4,"Split-Finger",1,1,1,1,1,1,1,1,"Standard","Standard",226,"0","0.03"
"SI","2023-05-21","93.4","-1.97","5.53","Ohtani, Shohei",621043,660271,,"called_strike",,,,,14,"Carlos Correa strikes out swinging.","R","R","R","LAA","MIN","S",,,1,1,2023,"-1.13","0.88","0.83","1.88",,,,0,6,"Top",,,,,595453,,,9.804616724164969,-135.69782684097254,-5.645985662494469,-16.045124951831202,28.989659043337838,-20.17187461827009,"3.6","1.71",,,,"94.6",2112,"7",718080,660271,595453,665120,650859,570482,687263,666160,545361,592669,"53.49",,,,,,,,42,3,"Sinker",1,1,1,1,1,1,1,1,"Standard","Standard",174,"0","-0.053"
